Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UCB57_A Spectral Count	UCB57_B Spectral Count	UCB57_C Spectral Count	UCB57_D Spectral Count	UCB57_E Spectral Count	UCB57_F Spectral Count	UCB57_Neat Spectral Count	UCB57_Raw Spectral Count	UCB78_A Spectral Count	UCB78_B Spectral Count	UCB78_C Spectral Count	UCB78_D Spectral Count	UCB78_E Spectral Count	UCB78_F Spectral Count	UCB78_Neat Spectral Count	UCB78_Raw Spectral Count	UCB79_A Spectral Count	UCB79_B Spectral Count	UCB79_C Spectral Count	UCB79_D Spectral Count	UCB79_E Spectral Count	UCB79_F Spectral Count	UCB79_Neat Spectral Count	UCB79_Raw Spectral Count	UCB57_A Unique Spectral Count	UCB57_B Unique Spectral Count	UCB57_C Unique Spectral Count	UCB57_D Unique Spectral Count	UCB57_E Unique Spectral Count	UCB57_F Unique Spectral Count	UCB57_Neat Unique Spectral Count	UCB57_Raw Unique Spectral Count	UCB78_A Unique Spectral Count	UCB78_B Unique Spectral Count	UCB78_C Unique Spectral Count	UCB78_D Unique Spectral Count	UCB78_E Unique Spectral Count	UCB78_F Unique Spectral Count	UCB78_Neat Unique Spectral Count	UCB78_Raw Unique Spectral Count	UCB79_A Unique Spectral Count	UCB79_B Unique Spectral Count	UCB79_C Unique Spectral Count	UCB79_D Unique Spectral Count	UCB79_E Unique Spectral Count	UCB79_F Unique Spectral Count	UCB79_Neat Unique Spectral Count	UCB79_Raw Unique Spectral Count	UCB57_A Total Spectral Count	UCB57_B Total Spectral Count	UCB57_C Total Spectral Count	UCB57_D Total Spectral Count	UCB57_E Total Spectral Count	UCB57_F Total Spectral Count	UCB57_Neat Total Spectral Count	UCB57_Raw Total Spectral Count	UCB78_A Total Spectral Count	UCB78_B Total Spectral Count	UCB78_C Total Spectral Count	UCB78_D Total Spectral Count	UCB78_E Total Spectral Count	UCB78_F Total Spectral Count	UCB78_Neat Total Spectral Count	UCB78_Raw Total Spectral Count	UCB79_A Total Spectral Count	UCB79_B Total Spectral Count	UCB79_C Total Spectral Count	UCB79_D Total Spectral Count	UCB79_E Total Spectral Count	UCB79_F Total Spectral Count	UCB79_Neat Total Spectral Count	UCB79_Raw Total Spectral Count	UCB57_A Intensity	UCB57_B Intensity	UCB57_C Intensity	UCB57_D Intensity	UCB57_E Intensity	UCB57_F Intensity	UCB57_Neat Intensity	UCB57_Raw Intensity	UCB78_A Intensity	UCB78_B Intensity	UCB78_C Intensity	UCB78_D Intensity	UCB78_E Intensity	UCB78_F Intensity	UCB78_Neat Intensity	UCB78_Raw Intensity	UCB79_A Intensity	UCB79_B Intensity	UCB79_C Intensity	UCB79_D Intensity	UCB79_E Intensity	UCB79_F Intensity	UCB79_Neat Intensity	UCB79_Raw Intensity	UCB57_A MaxLFQ Intensity	UCB57_B MaxLFQ Intensity	UCB57_C MaxLFQ Intensity	UCB57_D MaxLFQ Intensity	UCB57_E MaxLFQ Intensity	UCB57_F MaxLFQ Intensity	UCB57_Neat MaxLFQ Intensity	UCB57_Raw MaxLFQ Intensity	UCB78_A MaxLFQ Intensity	UCB78_B MaxLFQ Intensity	UCB78_C MaxLFQ Intensity	UCB78_D MaxLFQ Intensity	UCB78_E MaxLFQ Intensity	UCB78_F MaxLFQ Intensity	UCB78_Neat MaxLFQ Intensity	UCB78_Raw MaxLFQ Intensity	UCB79_A MaxLFQ Intensity	UCB79_B MaxLFQ Intensity	UCB79_C MaxLFQ Intensity	UCB79_D MaxLFQ Intensity	UCB79_E MaxLFQ Intensity	UCB79_F MaxLFQ Intensity	UCB79_Neat MaxLFQ Intensity	UCB79_Raw MaxLFQ Intensity	Indistinguishable Proteins
sp|P01619|KV320_HUMAN	P01619	KV320_HUMAN	IGKV3-20	116	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3-20	1.0	0.999	6	693	240	693	48	0	64	0	0	0	78	65	37	0	43	0	0	0	76	59	40	0	39	0	0	0	82	62	12	0	34	0	0	0	18	19	13	0	21	0	0	0	24	16	19	0	17	0	0	0	24	23	48	0	64	0	0	0	78	65	37	0	43	0	0	0	76	59	40	0	39	0	0	0	82	62	7.3021978E9	0.0	4.5959337E9	0.0	0.0	0.0	5.9008701E9	2.48786202E9	9.3824707E9	0.0	4.9436826E9	0.0	0.0	0.0	8.9390561E9	9.7226271E9	9.5388447E9	0.0	4.6496589E9	0.0	0.0	0.0	1.49475604E10	8.9519278E9	5.2168146E9	0.0	3.13644954E9	0.0	0.0	0.0	3.00684006E9	1.30777242E9	7.4375588E9	0.0	2.10924595E9	0.0	0.0	0.0	4.12106829E9	4.689579E9	6.0492923E9	0.0	2.2714903E9	0.0	0.0	0.0	7.3583119E9	4.7187932E9	
sp|P01700|LV147_HUMAN	P01700	LV147_HUMAN	IGLV1-47	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-47	1.0	0.999	4	97	90	97	5	0	8	0	0	0	10	7	6	0	6	0	0	0	11	12	7	0	4	0	0	0	12	9	5	0	5	0	0	0	10	7	5	0	5	0	0	0	11	12	5	0	4	0	0	0	12	9	5	0	8	0	0	0	10	7	6	0	6	0	0	0	11	12	7	0	4	0	0	0	12	9	1.33477312E9	0.0	1.07725709E9	0.0	0.0	0.0	1.33946714E9	4.00818656E8	1.71802573E9	0.0	5.1046856E7	0.0	0.0	0.0	1.65295962E9	8.0130368E8	2.02716506E9	0.0	4.67689728E8	0.0	0.0	0.0	1.77817267E9	9.9570189E8	0.0	0.0	9.0850835E8	0.0	0.0	0.0	0.0	0.0	1.71319104E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.90921907E9	0.0	0.0	0.0	0.0	0.0	0.0	1.03777114E9	
sp|P01701|LV151_HUMAN	P01701	LV151_HUMAN	IGLV1-51	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-51	1.0	0.9989	3	33	33	33	3	0	5	0	0	0	3	3	4	0	3	0	0	0	3	1	2	0	4	0	0	0	1	1	3	0	5	0	0	0	3	3	4	0	3	0	0	0	3	1	2	0	4	0	0	0	1	1	3	0	5	0	0	0	3	3	4	0	3	0	0	0	3	1	2	0	4	0	0	0	1	1	1.18124698E9	0.0	2.79043008E8	0.0	0.0	0.0	5.9644384E8	3.2705024E8	1.05966528E9	0.0	1.45003942E9	0.0	0.0	0.0	7.4113882E8	4.24407488E8	1.1379968E9	0.0	5.1765536E8	0.0	0.0	0.0	4.9084496E8	2.94592E8	0.0	0.0	0.0	0.0	0.0	0.0	3.15729792E8	0.0	1.32038963E9	0.0	6.5380294E8	0.0	0.0	0.0	3.97254368E8	0.0	0.0	0.0	5.35497408E8	0.0	0.0	0.0	0.0	0.0	
sp|P01704|LV214_HUMAN	P01704	LV214_HUMAN	IGLV2-14	120	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-14	1.0	0.9988	1	11	11	11	1	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1	0	3	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	1	1.9661056E8	0.0	0.0	0.0	0.0	0.0	1.68073168E8	1.0342724E8	1.97297184E8	0.0	0.0	0.0	0.0	0.0	1.81250096E8	1.0477792E8	1.59609168E8	0.0	0.0	0.0	0.0	0.0	1.85390112E8	1.71290832E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01705|LV223_HUMAN	P01705	LV223_HUMAN	IGLV2-23	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-23	1.0	0.9989	2	20	20	20	2	0	1	0	0	0	3	4	1	0	2	0	0	0	1	1	2	0	1	0	0	0	1	1	2	0	1	0	0	0	3	4	1	0	2	0	0	0	1	1	2	0	1	0	0	0	1	1	2	0	1	0	0	0	3	4	1	0	2	0	0	0	1	1	2	0	1	0	0	0	1	1	1.70456048E8	0.0	1.29798664E8	0.0	0.0	0.0	3.6753088E7	1.7874622E7	9.7031512E7	0.0	1.20084896E8	0.0	0.0	0.0	4.9896084E7	1.63862064E8	2.29550512E8	0.0	5.513838E7	0.0	0.0	0.0	3.98833E7	1.8660776E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.3474872E7	0.0	0.0	0.0	0.0	0.0	1.40717696E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01706|LV211_HUMAN	P01706	LV211_HUMAN	IGLV2-11	119	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-11	1.0	0.999	4	52	39	56	3	0	5	0	0	0	3	3	4	0	8	0	0	0	3	3	3	0	8	0	0	0	4	5	2	0	4	0	0	0	1	2	3	0	7	0	0	0	2	2	2	0	7	0	0	0	3	4	3	0	7	0	0	0	3	3	4	0	9	0	0	0	3	3	4	0	8	0	0	0	4	5	5.8380659E8	0.0	6.0141453E8	0.0	0.0	0.0	4.30442432E8	2.92360672E8	5.17688928E8	0.0	6.6556922E8	0.0	0.0	0.0	4.8206672E8	3.0136912E8	7.7871667E8	0.0	6.1900934E8	0.0	0.0	0.0	5.26529344E8	4.15621568E8	3.96383584E8	0.0	3.32734432E8	0.0	0.0	0.0	2.95072E8	2.03720832E8	0.0	0.0	4.19416288E8	0.0	0.0	0.0	3.01600064E8	2.04674656E8	5.11334176E8	0.0	3.81024672E8	0.0	0.0	0.0	3.43045344E8	2.79916096E8	
sp|P01709|LV208_HUMAN	P01709	LV208_HUMAN	IGLV2-8	118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 2-8	1.0	0.9988	3	46	46	63	3	0	4	0	0	0	3	2	5	0	6	0	0	0	2	4	4	0	7	0	0	0	3	3	3	0	4	0	0	0	3	2	5	0	6	0	0	0	2	4	4	0	7	0	0	0	3	3	4	0	7	0	0	0	5	3	6	0	8	0	0	0	3	5	6	0	8	0	0	0	4	4	2.70924864E8	0.0	8.7365318E8	0.0	0.0	0.0	0.0	0.0	4.4834E8	0.0	1.80088752E8	0.0	0.0	0.0	1.94459648E8	0.0	3.3199792E7	0.0	1385934.1	0.0	0.0	0.0	0.0	1.9474088E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23345152E8	0.0	0.0	0.0	0.0	0.0	3.6096664E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01714|LV319_HUMAN	P01714	LV319_HUMAN	IGLV3-19	112	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-19	1.0	0.999	3	58	58	58	3	0	7	0	0	0	5	6	5	0	4	0	0	0	5	5	4	0	3	0	0	0	6	5	3	0	7	0	0	0	5	6	5	0	4	0	0	0	5	5	4	0	3	0	0	0	6	5	3	0	7	0	0	0	5	6	5	0	4	0	0	0	5	5	4	0	3	0	0	0	6	5	2.43396448E8	0.0	3.12365472E8	0.0	0.0	0.0	1.00252496E8	1.7186944E8	2.66165856E8	0.0	1.30153384E8	0.0	0.0	0.0	2.77453888E8	1.69106736E8	2.9812096E8	0.0	1.80142688E8	0.0	0.0	0.0	3.5421504E8	5.4927373E8	7.8281056E7	0.0	1.49189552E8	0.0	0.0	0.0	6.8682168E7	1.22516984E8	1.1941608E8	0.0	6.8287632E7	0.0	0.0	0.0	1.93715456E8	5.7189116E7	1.32685784E8	0.0	8.4480456E7	0.0	0.0	0.0	2.52898896E8	2.57679536E8	
sp|P01717|LV325_HUMAN	P01717	LV325_HUMAN	IGLV3-25	112	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-25	1.0	0.999	5	66	15	72	1	0	8	0	0	0	7	6	5	0	8	0	0	0	5	4	3	0	6	0	0	0	7	6	0	0	4	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	2	0	0	0	2	1	3	0	9	0	0	0	7	6	6	0	8	0	0	0	5	4	4	0	7	0	0	0	7	6	0.0	0.0	3.7231936E8	0.0	0.0	0.0	1.82054192E8	3.44789152E8	1.37910832E8	0.0	2.73956608E8	0.0	0.0	0.0	3.87637888E8	3.082648E7	1.20488776E8	0.0	2.9086912E8	0.0	0.0	0.0	3.79659552E8	5.8549299E8	0.0	0.0	3.46486848E8	0.0	0.0	0.0	9.0438056E7	1.76781568E8	6.3007136E7	0.0	1.24645208E8	0.0	0.0	0.0	1.91916992E8	0.0	6.530694E7	0.0	1.8077984E8	0.0	0.0	0.0	3.48320704E8	3.32537792E8	
sp|P01718|LV327_HUMAN	P01718	LV327_HUMAN	IGLV3-27	113	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 3-27	1.0	0.9987	3	4	4	18	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.3861128E7	0.0	0.0	0.0	0.0	0.0	0.0	6.2589396E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6813066E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01721|LV657_HUMAN	P01721	LV657_HUMAN	IGLV6-57	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin lambda variable 6-57	1.0	0.999	3	27	27	29	0	0	2	0	0	0	1	3	0	0	0	0	0	0	5	6	0	0	0	0	0	0	4	6	0	0	2	0	0	0	1	3	0	0	0	0	0	0	5	6	0	0	0	0	0	0	4	6	0	0	4	0	0	0	1	3	0	0	0	0	0	0	5	6	0	0	0	0	0	0	4	6	0.0	0.0	1.76856304E8	0.0	0.0	0.0	7.9409472E7	1.72750432E8	0.0	0.0	0.0	0.0	0.0	0.0	1.88912608E8	1.2903208E8	0.0	0.0	0.0	0.0	0.0	0.0	1.95749856E8	2.56126688E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.00909392E8	0.0	0.0	0.0	0.0	0.0	0.0	2.1050928E8	1.06950712E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.15486E8	
sp|P01742|HV169_HUMAN	P01742	HV169_HUMAN	IGHV1-69	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-69	1.0	0.999	7	113	61	113	8	0	8	0	0	0	8	8	8	0	10	0	0	0	12	10	8	0	8	0	0	0	12	13	4	0	5	0	0	0	5	6	3	0	5	0	0	0	6	4	4	0	4	0	0	0	8	7	8	0	8	0	0	0	8	8	8	0	10	0	0	0	12	10	8	0	8	0	0	0	12	13	1.12050816E9	0.0	1.47640624E8	0.0	0.0	0.0	5.487543E8	4.3791952E8	1.10038438E9	0.0	4.48554176E8	0.0	0.0	0.0	6.9710656E8	2.19616512E8	9.0854246E8	0.0	3.55903584E8	0.0	0.0	0.0	2.4916192E8	6.4104474E8	1.823E8	0.0	5.3027512E7	0.0	0.0	0.0	8.1508243E8	1.01137683E9	3.81424992E8	0.0	1.59572544E8	0.0	0.0	0.0	7.968201E8	1.31211416E8	3.93872416E8	0.0	1.48231056E8	0.0	0.0	0.0	6.5542394E8	7.8265299E8	
sp|P01743|HV146_HUMAN	P01743	HV146_HUMAN	IGHV1-46	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 1-46	1.0	0.999	4	43	43	53	5	0	3	0	0	0	6	9	2	0	2	0	0	0	3	4	2	0	2	0	0	0	3	2	5	0	3	0	0	0	6	9	2	0	2	0	0	0	3	4	2	0	2	0	0	0	3	2	7	0	4	0	0	0	6	10	3	0	3	0	0	0	3	5	4	0	3	0	0	0	3	2	1.72471776E8	0.0	0.0	0.0	0.0	0.0	2.3161368E8	3.55491392E8	1.34708064E8	0.0	9373670.0	0.0	0.0	0.0	2.12760448E8	2.22884848E8	1.32408752E8	0.0	1.7121448E7	0.0	0.0	0.0	2.47876464E8	2.6070008E8	1.13984304E8	0.0	0.0	0.0	0.0	0.0	1.30796664E8	1.97829808E8	1.01606368E8	0.0	0.0	0.0	0.0	0.0	1.4787488E8	1.75862592E8	1.01059056E8	0.0	0.0	0.0	0.0	0.0	1.58714368E8	1.763932E8	
sp|P01764|HV323_HUMAN	P01764	HV323_HUMAN	IGHV3-23	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-23	1.0	0.999	6	23	23	217	4	0	5	0	0	0	0	0	3	0	3	0	0	0	1	2	2	0	1	0	0	0	1	1	4	0	5	0	0	0	0	0	3	0	3	0	0	0	1	2	2	0	1	0	0	0	1	1	25	0	32	0	0	0	0	0	29	0	27	0	0	0	17	14	18	0	23	0	0	0	17	15	4.79214E7	0.0	4.22545E7	0.0	0.0	0.0	0.0	0.0	5.08122E7	0.0	3.13579392E8	0.0	0.0	0.0	0.0	0.0	2.8021534E7	0.0	6.3679488E7	0.0	0.0	0.0	8095286.0	7070822.5	2.7528594E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9226238E7	0.0	1.68738224E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01767|HV353_HUMAN	P01767	HV353_HUMAN	IGHV3-53	116	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-53	1.0	0.999	4	3	3	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5886713E7	0.0	0.0	0.0	0.0	8142166.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01768|HV330_HUMAN	P01768	HV330_HUMAN	IGHV3-30	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-30	1.0	0.999	6	55	0	246	5	0	5	0	0	0	4	7	3	0	4	0	0	0	5	7	3	0	3	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	29	0	0	0	13	13	26	0	27	0	0	0	19	19	18	0	23	0	0	0	18	18	3.2199255E9	0.0	6.4558688E8	0.0	0.0	0.0	2.69015648E8	3.76992384E8	9.77296E8	0.0	9.077081E8	0.0	0.0	0.0	6.0685965E8	4.20135072E8	2.57597594E9	0.0	3.97330432E8	0.0	0.0	0.0	8.3411923E8	6.1806938E8	2.06737907E9	0.0	4.2834064E8	0.0	0.0	0.0	0.0	2.50743744E8	2.32706483E9	0.0	6.3758374E8	0.0	0.0	0.0	3.78014848E8	3.21618656E8	1.76249574E9	0.0	0.0	0.0	0.0	0.0	0.0	2.0825304E8	sp|P0DP03|HVC05_HUMAN
sp|P01780|HV307_HUMAN	P01780	HV307_HUMAN	IGHV3-7	117	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-7	1.0	0.999	5	238	53	259	9	0	23	0	0	0	22	23	12	0	18	0	0	0	25	19	17	0	15	0	0	0	27	28	3	0	0	0	0	0	9	6	3	0	3	0	0	0	7	5	5	0	3	0	0	0	5	4	13	0	24	0	0	0	23	23	17	0	20	0	0	0	26	19	19	0	19	0	0	0	28	28	2.25126093E9	0.0	1.41956979E9	0.0	0.0	0.0	4.3396372E9	1.92052083E9	2.07541069E9	0.0	1.23729587E9	0.0	0.0	0.0	5.1407319E9	2.26781005E9	2.97117875E9	0.0	1.31663859E9	0.0	0.0	0.0	3.95016704E9	2.42626202E9	1.63384282E9	0.0	0.0	0.0	0.0	0.0	1.51450522E9	7.796217E8	2.57850061E9	0.0	7.5120966E8	0.0	0.0	0.0	1.55576653E9	1.16360013E9	1.62244403E9	0.0	1.4025783E9	0.0	0.0	0.0	1.5376256E9	1.16341248E9	
sp|P01782|HV309_HUMAN	P01782	HV309_HUMAN	IGHV3-9	118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-9	1.0	0.999	4	25	0	174	3	0	0	0	0	0	0	2	3	0	2	0	0	0	2	2	4	0	3	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	19	12	0	17	0	0	0	20	16	16	0	15	0	0	0	24	26	1.89953792E8	0.0	0.0	0.0	0.0	0.0	0.0	3.0927772E7	1.50074352E8	0.0	9.9384216E7	0.0	0.0	0.0	3.7641684E7	5.0051572E7	1.61993568E8	0.0	2.21758464E8	0.0	0.0	0.0	0.0	1.02329448E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0296872E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.4933008E7	0.0	1.835624E8	0.0	0.0	0.0	0.0	8.40342E7	
sp|P01817|HV205_HUMAN	P01817	HV205_HUMAN	IGHV2-5	119	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy variable 2-5	0.99	0.9989	2	7	7	7	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1081188E7	0.0	0.0	1.44384176E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P01833|PIGR_HUMAN	P01833	PIGR_HUMAN	PIGR	764	Homo sapiens OX=9606	1:Experimental evidence at protein level	Polymeric immunoglobulin receptor	1.0	0.999	12	39	39	39	0	0	14	0	0	0	0	0	2	0	11	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	11	0	0	0	0	0	2	0	10	0	0	0	0	0	0	0	14	0	0	0	0	0	2	0	11	0	0	0	0	0	2	0	10	0	0	0	0	0	0.0	0.0	1.72112752E8	0.0	0.0	0.0	0.0	0.0	2.6113338E7	0.0	1.44251616E8	0.0	0.0	0.0	0.0	0.0	3.2048298E7	0.0	1.53679136E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11336584E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.4532272E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.7475988E7	0.0	0.0	0.0	0.0	0.0	
sp|P01834|IGKC_HUMAN	P01834	IGKC_HUMAN	IGKC	107	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin kappa constant	1.0	0.999	10	3688	3688	3688	255	0	204	0	0	0	384	352	264	0	204	0	0	0	424	358	263	0	213	0	0	0	413	354	255	0	204	0	0	0	384	352	264	0	204	0	0	0	424	358	263	0	213	0	0	0	413	354	255	0	204	0	0	0	384	352	264	0	204	0	0	0	424	358	263	0	213	0	0	0	413	354	1.2849256E11	0.0	5.4205485E10	0.0	0.0	0.0	6.9484413E10	8.2636792E10	1.42354891E11	0.0	8.9621578E10	0.0	0.0	0.0	1.70091479E11	1.8276488E11	1.04840954E11	0.0	8.6422274E10	0.0	0.0	0.0	2.0710939E11	2.12323549E11	3.40062884E10	0.0	1.47907564E10	0.0	0.0	0.0	1.97639926E10	1.92256819E10	3.7175824E10	0.0	2.41599611E10	0.0	0.0	0.0	4.2508206E10	4.4131033E10	2.8658004E10	0.0	2.46732759E10	0.0	0.0	0.0	4.6872334E10	4.9575424E10	
sp|P01857|IGHG1_HUMAN	P01857	IGHG1_HUMAN	IGHG1	330	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 1	1.0	0.999	24	4456	2905	4456	411	0	378	0	0	0	386	368	374	0	317	0	0	0	386	364	361	0	340	0	0	0	390	381	275	0	222	0	0	0	264	263	216	0	181	0	0	0	267	256	214	0	199	0	0	0	280	268	411	0	378	0	0	0	386	368	374	0	317	0	0	0	386	364	361	0	340	0	0	0	390	381	5.29657201E11	0.0	1.61578009E11	0.0	0.0	0.0	9.2192317E10	8.2336989E10	3.02803419E11	0.0	2.5185611E11	0.0	0.0	0.0	2.46183576E11	3.8868566E11	3.9245054E11	0.0	2.0950827E11	0.0	0.0	0.0	2.23653724E11	4.12860842E11	7.3133441E10	0.0	3.32095365E10	0.0	0.0	0.0	6.6287145E10	4.0264413E10	4.505584E10	0.0	3.6197462E10	0.0	0.0	0.0	8.7657406E10	6.9827494E10	6.0718391E10	0.0	3.5321475E10	0.0	0.0	0.0	9.2542919E10	7.390081E10	
sp|P01859|IGHG2_HUMAN	P01859	IGHG2_HUMAN	IGHG2	326	Homo sapiens OX=9606	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 2	1.0	0.999	21	1707	879	2691	154	0	113	0	0	0	112	127	174	0	169	0	0	0	126	133	159	0	163	0	0	0	140	137	76	0	57	0	0	0	65	66	90	0	84	0	0	0	69	67	82	0	80	0	0	0	70	73	246	0	234	0	0	0	179	183	278	0	264	0	0	0	193	194	260	0	259	0	0	0	201	200	1.61124205E11	0.0	2.31594414E10	0.0	0.0	0.0	2.92726682E10	4.6107136E10	1.22856251E11	0.0	9.380814E10	0.0	0.0	0.0	9.7851245E10	1.21746407E11	9.1411644E10	0.0	9.052124E10	0.0	0.0	0.0	1.01566054E11	1.38526605E11	4.829755E10	0.0	1.87614904E10	0.0	0.0	0.0	2.51953746E10	1.52690801E10	3.437142E10	0.0	2.33425879E10	0.0	0.0	0.0	4.8046121E10	3.33508628E10	3.5614224E10	0.0	2.32918712E10	0.0	0.0	0.0	4.8872362E10	3.522191E10	
